,type,open_ts,open_price,close_ts,close_price,duration,profit,diff_PCT,balance
71,long,2024-12-05 22:30:00,0.42269,2024-12-05 22:45:00,0.4324,3,0.1345504085121035,2.2971917954056154,9.769889987613126
72,short,2024-12-05 22:45:00,0.4324,2024-12-05 23:15:00,0.43038,6,0.011463894918075153,0.46716003700278025,9.781353882531201
73,long,2024-12-05 23:15:00,0.43038,2024-12-05 23:55:00,0.42726,8,-0.07012752097888518,-0.7249407500348556,9.711226361552317
74,short,2024-12-05 23:55:00,0.42726,2024-12-06 03:05:00,0.43411,38,-0.12948849586210753,-1.6032392454243372,9.58173786569021
75,long,2024-12-06 03:05:00,0.43411,2024-12-06 03:20:00,0.43458,3,-0.012867176305965561,0.10826748980673699,9.568870689384244
76,short,2024-12-06 03:20:00,0.43458,2024-12-06 03:30:00,0.434,2,-0.011146111577647317,0.1334621933821218,9.557724577806598
77,long,2024-12-06 03:30:00,0.434,2024-12-06 03:40:00,0.43669,2,0.02135550231432474,0.6198156682027709,9.579080080120923
78,short,2024-12-06 03:40:00,0.43669,2024-12-06 09:10:00,0.43072,66,0.07164469262425509,1.36710252123933,9.650724772745178
79,long,2024-12-06 09:10:00,0.43072,2024-12-06 09:20:00,0.43041,2,-0.02512376818827799,-0.07197251114412541,9.6256010045569
80,short,2024-12-06 09:20:00,0.43041,2024-12-06 09:25:00,0.42786,1,0.01974553133372304,0.5924583536627859,9.645346535890623
81,long,2024-12-06 09:25:00,0.42786,2024-12-06 11:30:00,0.42896,25,-0.002914298646224743,0.25709344178001914,9.642432237244398
82,short,2024-12-06 11:30:00,0.42896,2024-12-06 15:55:00,0.43278,53,-0.0804170666365609,-0.8905259231629966,9.562015170607836
83,long,2024-12-06 15:55:00,0.43278,2024-12-06 16:00:00,0.43465,1,0.008812418403906046,0.43209020749572136,9.570827589011742
84,short,2024-12-06 16:00:00,0.43465,2024-12-06 23:25:00,0.43311,89,0.0036621489677015773,0.3543080639595044,9.574489737979444
85,long,2024-12-06 23:25:00,0.43311,2024-12-06 23:40:00,0.43575,3,0.02070529000225386,0.6095449193045719,9.595195027981699
86,short,2024-12-06 23:40:00,0.43575,2024-12-07 08:40:00,0.44355,108,-0.14049908825671314,-1.7900172117039526,9.454695939724987
87,long,2024-12-07 08:40:00,0.44355,2024-12-07 09:10:00,0.44899,6,0.06123515916987454,1.2264682673881186,9.51593109889486
88,short,2024-12-07 09:10:00,0.44899,2024-12-07 09:35:00,0.44948,5,-0.027260295173349797,-0.10913383371567083,9.488670803721512
89,long,2024-12-07 09:35:00,0.44948,2024-12-07 10:00:00,0.44801,5,-0.04162701498569763,-0.32704458485360227,9.447043788735813
90,short,2024-12-07 10:00:00,0.44801,2024-12-07 18:45:00,0.45931,105,-0.1868012313779398,-2.52226512801053,9.260242557357873
91,long,2024-12-07 18:45:00,0.45931,2024-12-07 18:50:00,0.45945,1,-0.017472687187502202,0.03048050336374758,9.24276987017037
92,short,2024-12-07 18:50:00,0.45945,2024-12-07 19:35:00,0.45847,9,-0.005595733212136363,0.2132985090869597,9.237174136958235
93,long,2024-12-07 19:35:00,0.45847,2024-12-07 19:50:00,0.46185,3,0.02822402268029661,0.7372347154666596,9.265398159638531
94,short,2024-12-07 19:50:00,0.46185,2024-12-07 20:10:00,0.46195,4,-0.020863044588300843,-0.021652051531892282,9.24453511505023
95,long,2024-12-07 20:10:00,0.46195,2024-12-08 01:20:00,0.46547,62,0.02984669054340354,0.7619872280549772,9.274381805593633
96,short,2024-12-08 01:20:00,0.46547,2024-12-08 02:35:00,0.45986,15,0.05884660708512467,1.2052334199841028,9.333228412678757
97,long,2024-12-08 02:35:00,0.45986,2024-12-08 03:00:00,0.46188,5,0.009069788877175352,0.4392641238637893,9.342298201555932
98,short,2024-12-08 03:00:00,0.46188,2024-12-08 05:10:00,0.47269,26,-0.17282715665901793,-2.3404347449553966,9.169471044896914
99,long,2024-12-08 05:10:00,0.47269,2024-12-08 12:30:00,0.45638,88,-0.24050694817303972,-3.450464363536354,8.928964096723874
100,short,2024-12-08 12:30:00,0.45638,2024-12-08 15:15:00,0.45656,33,-0.021218449226598594,-0.039440816863143324,8.907745647497276
101,long,2024-12-08 15:15:00,0.45656,2024-12-08 16:35:00,0.46683,16,0.12141495736699093,2.2494305239179955,9.029160604864266
102,short,2024-12-08 16:35:00,0.46683,2024-12-08 18:30:00,0.46197,23,0.046904113247375305,1.0410641989589424,9.076064718111642
103,long,2024-12-08 18:30:00,0.46197,2024-12-08 22:25:00,0.46493,47,0.021606975111797298,0.6407342468125675,9.09767169322344
