,type,open_ts,open_price,close_ts,close_price,duration,profit,balance
17,short,2024-11-20 14:05:00,0.39485,2024-11-20 14:30:00,0.39409,25,-0.007503196248108987,9.979373857299326
18,long,2024-11-20 14:30:00,0.39409,2024-11-20 15:00:00,0.39271,30,-0.04539383161763445,9.933980025681691
19,short,2024-11-20 15:00:00,0.39271,2024-11-20 15:10:00,0.39103,10,0.008916449668592093,9.942896475350283
20,long,2024-11-20 15:10:00,0.39103,2024-11-20 15:20:00,0.39058,10,-0.02888172026630572,9.914014755083977
21,short,2024-11-20 15:20:00,0.39058,2024-11-20 15:25:00,0.39122,5,-0.0322022977194771,9.8818124573645
22,long,2024-11-20 15:25:00,0.39122,2024-11-20 15:35:00,0.39365,10,0.022170728543759264,9.90398318590826
23,short,2024-11-20 15:35:00,0.39365,2024-11-20 15:50:00,0.3924,15,0.0012380922458494637,9.905221278154109
24,long,2024-11-20 15:50:00,0.3924,2024-11-20 22:55:00,0.37901,425,-0.25716385306612793,9.64805742508798
25,short,2024-11-20 22:55:00,0.37901,2024-11-20 23:10:00,0.37946,15,-0.028287561649625915,9.619769863438355
26,long,2024-11-20 23:10:00,0.37946,2024-11-20 23:15:00,0.37833,5,-0.040234270426438734,9.579535593011917
27,short,2024-11-20 23:15:00,0.37833,2024-11-20 23:20:00,0.37896,5,-0.031294567556402114,9.548241025455514
28,long,2024-11-20 23:20:00,0.37896,2024-11-20 23:35:00,0.38029,15,0.0033826261409922627,9.551623651596506
29,short,2024-11-20 23:35:00,0.38029,2024-11-20 23:50:00,0.37728,15,0.03291536378072034,9.584539015377226
30,long,2024-11-20 23:50:00,0.37728,2024-11-21 00:10:00,0.38035,20,0.03441174173634094,9.618950757113566
31,short,2024-11-21 00:10:00,0.38035,2024-11-21 00:40:00,0.38488,30,-0.10047374044075383,9.518477016672813
32,long,2024-11-21 00:40:00,0.38488,2024-11-21 00:45:00,0.38544,5,-0.010303934380135693,9.508173082292677
33,short,2024-11-21 00:45:00,0.38544,2024-11-21 01:05:00,0.3832,20,0.01875150664037619,9.526924588933053
34,long,2024-11-21 01:05:00,0.3832,2024-11-21 01:15:00,0.38379,10,-0.009749012316888878,9.517175576616165
35,short,2024-11-21 01:15:00,0.38379,2024-11-21 01:40:00,0.38178,25,0.014939428832907877,9.532115005449072
36,long,2024-11-21 01:40:00,0.38178,2024-11-21 01:45:00,0.38084,5,-0.03642966724854775,9.495685338200524
37,short,2024-11-21 01:45:00,0.38084,2024-11-21 01:50:00,0.38087,5,-0.020465066931820708,9.475220271268704
38,long,2024-11-21 01:50:00,0.38087,2024-11-21 01:55:00,0.38038,5,-0.028422526206842703,9.446797745061861
39,short,2024-11-21 01:55:00,0.38038,2024-11-21 02:05:00,0.37816,10,0.018794155513860586,9.465591900575722
40,long,2024-11-21 02:05:00,0.37816,2024-11-21 04:10:00,0.3797,125,0.0070783183604723535,9.472670218936194
41,short,2024-11-21 04:10:00,0.3797,2024-11-21 04:15:00,0.37738,5,0.020663094547049822,9.493333313483244
42,long,2024-11-21 04:15:00,0.37738,2024-11-21 04:40:00,0.38838,25,0.17357072495372897,9.666904038436973
43,short,2024-11-21 04:40:00,0.38838,2024-11-21 04:45:00,0.38699,5,0.003942005064853066,9.670846043501827
